nameEN,nameTR,category,equipment,rxWeightMale,rxWeightFemale,supportsWeight,supportsReps,supportsTime,supportsDistance,wodSuitability,instructions,scalingNotes
Split Jerk,Split Jerk,Olympic,Barbell,70kg,48kg,true,true,false,false,6,"Split catch position","Push jerk or lighter"
Pistol Squats,Pistol Squat,Gymnastics,None,,,false,true,false,false,6,"Single leg full depth","Assisted or box pistols"
Turkish Get-ups,Turkish Get-up,Functional,Kettlebell,16kg,12kg,true,true,false,false,7,"Slow controlled movement","Lighter weight or no weight"
Farmers Carry,Farmers Carry,Functional,Dumbbells,24kg,16kg,true,false,true,true,8,"Upright posture","Lighter weight or shorter distance"
Sled Push,Sled Push,Functional,Sled,45kg,25kg,true,false,true,true,8,"Low body position","Lighter weight or shorter distance"
GHD Sit-ups,GHD Sit-up,Gymnastics,GHD Machine,,,false,true,false,false,7,"Full range of motion","AbMat sit-ups or reduce reps"
AbMat Sit-ups,AbMat Sit-up,Bodyweight,AbMat,,,false,true,false,false,10,"Shoulders touch ground","Partial range or crunches"
V-ups,V-up,Bodyweight,None,,,false,true,false,false,9,"Touch toes","Bent knee or partial range"
Plank,Plank,Bodyweight,None,,,false,false,true,false,8,"Straight body position","Knee plank or shorter time"
Lunges,Lunge,Bodyweight,None,,,false,true,false,false,9,"Knee almost touches ground","Reverse lunges or shallow depth"
Walking Lunges,Walking Lunge,Bodyweight,None,,,false,true,false,true,9,"Continuous movement","In place lunges or shorter"
Dumbbell Snatches,Dumbbell Snatch,Functional,Dumbbell,22kg,15kg,true,true,false,false,8,"Floor to overhead","Lighter weight or hang snatch"
Man Makers,Man Maker,Functional,Dumbbells,16kg,11kg,true,true,false,false,8,"Burpee to snatch","Lighter weight or step ups"
Devils Press,Devils Press,Functional,Dumbbells,22kg,15kg,true,true,false,false,9,"Burpee to devil press","Lighter weight or man makers"
Chest to Bar Pull-ups,Chest to Bar Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,8,"Chest touches bar","Regular pull-ups or assistance"
Butterfly Pull-ups,Butterfly Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,7,"Continuous rhythm","Kipping pull-ups or assistance"
Kipping Pull-ups,Kipping Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,9,"Hip drive rhythm","Jumping pull-ups or assistance"
Strict Pull-ups,Strict Pull-up,Gymnastics,Pull-up Bar,,,false,true,false,false,8,"No momentum","Negatives or assistance"
Bar Muscle-ups,Bar Muscle-up,Gymnastics,Pull-up Bar,,,false,true,false,false,6,"Transition over bar","Chest to bar or assistance"
